Entry,Catalyst,Catalyst dim1,Catalyst dim2,Solvent,Solvent dim1,Solvent dim2,Cosolvent,Ratio (cosolvent : solvent),Additives,temp in degree celsius,additive loading mol%,cat. loading mol%,time in min,yield
120,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,CCC(C)(O)C,-1.818920731,6.442409975,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,8,nil
121,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,CC1=CC=CC=C1,-0.17578323,13.28691349,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,2,27
122,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,CC1=CC=CC=C1,-0.17578323,13.28691349,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,4,29
123,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,CC1=CC=CC=C1,-0.17578323,13.28691349,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,8,27
124,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,CC1=CC(C)=CC(C)=C1,7.919722345,20.26056002,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,2,37
125,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,CC1=CC(C)=CC(C)=C1,7.919722345,20.26056002,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,4,27
126,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,CC1=CC(C)=CC(C)=C1,7.919722345,20.26056002,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,8,27
127,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,FC(F)(F)C1=CC=CC=C1,10.11298188,7.64110264,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,2,23
128,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,FC(F)(F)C1=CC=CC=C1,10.11298188,7.64110264,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,4,25
129,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,FC(F)(F)C1=CC=CC=C1,10.11298188,7.64110264,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,8,26
130,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,FC1=C(F)C(F)=C(F)C(F)=C1F,17.11939351,0.353804517,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,2,23
131,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,FC1=C(F)C(F)=C(F)C(F)=C1F,17.11939351,0.353804517,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,4,23
132,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,FC1=C(F)C(F)=C(F)C(F)=C1F,17.11939351,0.353804517,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,8,24
