Catalyst dim1,Catalyst dim2,Solvent dim1,Solvent dim2,Cosolvent dim1,Cosolvent dim2,Ratio (cosolvent : solvent),additive dim1,additive dim2,temp in degree celsius,cat. loading mol%,time in hours,yield
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,25,4,26
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,25,24,24
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,50,2,5
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,50,4,5
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,50,8,4
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,50,24,6
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,110,2,0
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,110,4,0
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,110,8,3
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,110,24,0
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,10,10,2,32
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,10,10,4,32
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,10,10,8,35
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,10,10,24,31
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,50,10,0.5,32
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,50,10,1,33
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,50,10,2,30
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,50,10,4,34
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,50,10,8,31
