Entry,Catalyst,Catalyst dim1,Catalyst dim2,Solvent,Solvent dim1,Solvent dim2,Cosolvent,Cosolvent dim1,Cosolvent dim2,Ratio (cosolvent : solvent),Additives,additive dim1,additive dim2,temp in degree celsius,additive loading mol%,cat. loading mol%,time in min,yield
85,O=P(O)(O)O (85% wt.in H2O),,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,[H]O[H],-13.91750442,-7.753291406,21,nil,10,2,1
86,O=P(O)(O)O (85% wt.in H2O),,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,[H]O[H],-13.91750442,-7.753291406,21,nil,10,4,3
87,O=P(O)(O)O (85% wt.in H2O),,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,[H]O[H],-13.91750442,-7.753291406,21,nil,10,8,traces
88,O=Cl(=O)(O)=O (70% wt.in H2O),,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,[H]O[H],-13.91750442,-7.753291406,21,96.07843137,10,2,1
89,O=Cl(=O)(O)=O (70% wt.in H2O),,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,[H]O[H],-13.91750442,-7.753291406,21,96.07843137,10,4,2
90,O=Cl(=O)(O)=O (70% wt.in H2O),,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,[H]O[H],-13.91750442,-7.753291406,21,96.07843137,10,8,traces
91,[H]Cl (4N in dioxane),,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,-10.38411087,-10.79876159,21,,10,2,3
92,[H]Cl (4N in dioxane),,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,-10.38411087,-10.79876159,21,,10,4,traces
93,[H]Cl (4N in dioxane),,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,-10.38411087,-10.79876159,21,,10,8,traces
94,[H]Cl (37% wt. in H2O),,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,-13.91750442,-7.753291406,21,,10,2,11
95,[H]Cl (37% wt. in H2O),,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,-13.91750442,-7.753291406,21,,10,4,traces
96,[H]Cl (37% wt. in H2O),,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,-13.91750442,-7.753291406,21,,10,8,traces
97,[H]Br (48% wt.in H2O),,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,-13.91750442,-7.753291406,21,,10,2,1
98,[H]Br (48% wt.in H2O),,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,-13.91750442,-7.753291406,21,,10,4,2
