Entry,Catalyst,Catalyst dim1,Catalyst dim2,Solvent,Solvent dim1,Solvent dim2,Cosolvent,Cosolvent dim1,Cosolvent dim2,Ratio (cosolvent : solvent),Additives,additive dim1,additive dim2,temp in degree celsius,cat. loading mol%,time in hrs,yield%
90,O=Cl(=O)(O)=O (70% wt.in H2O),-10.56661578,-1.999754703,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,[H]O[H],-13.91750442,-7.753291406,21,10,8,traces
91,[H]Cl (4N in dioxane),-15.47607492,9.532018559,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,O1CCOCC1,-10.38411087,-10.79876159,21,10,2,3
92,[H]Cl (4N in dioxane),-15.47607492,9.532018559,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,O1CCOCC1,-10.38411087,-10.79876159,21,10,4,traces
93,[H]Cl (4N in dioxane),-15.47607492,9.532018559,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,O1CCOCC1,-10.38411087,-10.79876159,21,10,8,traces
94,[H]Cl (37% wt. in H2O),-15.47607492,9.532018559,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,[H]O[H],-13.91750442,-7.753291406,21,10,2,11
95,[H]Cl (37% wt. in H2O),-15.47607492,9.532018559,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,[H]O[H],-13.91750442,-7.753291406,21,10,4,traces
96,[H]Cl (37% wt. in H2O),-15.47607492,9.532018559,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,[H]O[H],-13.91750442,-7.753291406,21,10,8,traces
97,[H]Br (48% wt.in H2O),-15.32738299,12.92242302,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,[H]O[H],-13.91750442,-7.753291406,21,10,2,1
98,[H]Br (48% wt.in H2O),-15.32738299,12.92242302,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,[H]O[H],-13.91750442,-7.753291406,21,10,4,2
99,[H]Br (48% wt.in H2O),-15.32738299,12.92242302,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,[H]O[H],-13.91750442,-7.753291406,21,10,8,1
100,[H]Br (5-10% wt. in methanol),-15.32738299,12.92242302,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,CO,unknown,unknown,21,10,2,traces
101,[H]Br (5-10% wt. in methanol),-15.32738299,12.92242302,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,CO,unknown,unknown,21,10,4,1
102,[H]Br (5-10% wt. in methanol),-15.32738299,12.92242302,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,CO,unknown,unknown,21,10,8,1
